variable,dta_variable_label,question_text,codebook_page,question_text_filled
family16sex,sex of two parents living with when 16 yrs old,,,sex of two parents living with when 16 yrs old
fammhneg,r's family's negative attitudes about mh problems,,,r's family's negative attitudes about mh problems
fear,afraid to walk at night in neighborhood,,,afraid to walk at night in neighborhood
fechld,mother working doesn't hurt children,,,mother working doesn't hurt children
fefam,"better for man to work, woman tend home",,,"better for man to work, woman tend home"
fehire,should hire and promote women,,,should hire and promote women
fejobaff,for or against preferential hiring of women,,,for or against preferential hiring of women
femsee1,how feminine others see r (0 to 6 scale),,,how feminine others see r (0 to 6 scale)
femself1,how feminine r sees self (0 to 6 scale),,,how feminine r sees self (0 to 6 scale)
feovrwrk,family life suffers when women work,,,family life suffers when women work
fepol,women not suited for politics,,,women not suited for politics
fepolnv,women not suited for politics (no volunteered response on web),,,women not suited for politics (no volunteered response on web)
fepolv,women not suited for politics (with volunteered response on web),,,women not suited for politics (with volunteered response on web)
fepresch,preschool kids suffer if mother works,,,preschool kids suffer if mother works
fighpeer,would x get into fights with peers,,,would x get into fights with peers
fileversion,gss data file version,,,gss data file version
finalter,change in financial situation,,,change in financial situation
finrela,opinion of family income,,,opinion of family income
foodalc,would x engage in excessive and uncontrolled food or alcohol consumption,,,would x engage in excessive and uncontrolled food or alcohol consumption
forland,foreigner's should not be allowed to buy land,,,foreigner's should not be allowed to buy land
form,form of split questionnaire asked,,,form of split questionnaire asked
ftruse,likelihood r uses internet in next 12 months,,,likelihood r uses internet in next 12 months
fulldem,"the people, not politicians, should make important decisions",,,"the people, not politicians, should make important decisions"
fund,how fundamentalist is r currently,,,how fundamentalist is r currently
fund16,how fundamentalist was r at age 16,,,how fundamentalist was r at age 16
gendtech,are women or men benefiting more from digital tech,,,are women or men benefiting more from digital tech
geneprob,situation caused by a genetic or inherited problem,,,situation caused by a genetic or inherited problem
genetics,how likely x s situation caused by genetic problem,,,how likely x s situation caused by genetic problem
getahead,opinion of how people get ahead,,,opinion of how people get ahead
getaheadnv,opinion of how people get ahead (no volunteered response on web),,,opinion of how people get ahead (no volunteered response on web)
getaheadv,opinion of how people get ahead (with volunteered response on web),,,opinion of how people get ahead (with volunteered response on web)
god,r's confidence in the existence of god,,,r's confidence in the existence of god
godswill,how likely x s situation caused by god s will,,,how likely x s situation caused by god s will
goodlife,standard of living of r will improve,,,standard of living of r will improve
granborn,how many grandparents born outside u.s.,,,how many grandparents born outside u.s.
grass,should marijuana be made legal,,,should marijuana be made legal
grassnv,should marijuana be made legal (no volunteered response on web),,,should marijuana be made legal (no volunteered response on web)
grassv,should marijuana be made legal (with volunteered response on web),,,should marijuana be made legal (with volunteered response on web)
grwingup,is child experiencing normal ups and downs,,,is child experiencing normal ups and downs
gunlaw,favor or oppose gun permits,,,favor or oppose gun permits
hapcohab,happiness of relt with partner,,,happiness of relt with partner
hapmar,happiness of marriage,,,happiness of marriage
happy,general happiness,,,general happiness
harmgood1,does technology do more harm than good?,,,does technology do more harm than good?
health,condition of health,,,condition of health
helpblk,should govt aid black people?,,,should govt aid black people?
helpful,people helpful or looking out for selves,,,people helpful or looking out for selves
helpfulnv,people helpful or looking out for selves (no volunteered response on web),,,people helpful or looking out for selves (no volunteered response on web)
helpfulv,people helpful or looking out for selves (with volunteered response on web),,,people helpful or looking out for selves (with volunteered response on web)
helpnot,should govt do more or less?,,,should govt do more or less?
helpoth,to help others,,,to help others
helppoor,should govt improve standard of living?,,,should govt improve standard of living?
helpsick,should govt help pay for medical care?,,,should govt help pay for medical care?
helpusa,how important to help worse off ppl in america,,,how important to help worse off ppl in america
hhtype1,household type (condensed),,,household type (condensed)
hhtype1_exp,household type (condensed) (experimental version),,,household type (condensed) (experimental version)
hispanic,r hispanic specific,,,r hispanic specific
hivafraid,afraid to be around a person with hiv,,,afraid to be around a person with hiv
hivdscrm,there is a lot of discrimination against people with hiv,,,there is a lot of discrimination against people with hiv
hivimmrl,people with hiv have participated in immoral activities,,,people with hiv have participated in immoral activities
hivtest,have you ever been tested for hiv,,,have you ever been tested for hiv
hivtest1,in what year was your last hiv test,,,in what year was your last hiv test
hivtest2,where did you have your last hiv test,,,where did you have your last hiv test
homosex,homosexual sex relations,,,homosexual sex relations
hompop,number of persons in household,,,number of persons in household
hompop_exp,total people in hh (experimental version),,,total people in hh (experimental version)
hrs1,number of hours worked last week,,,number of hours worked last week
hrs2,number of hours usually work a week,,,number of hours usually work a week
hunt,does r or spouse hunt,,,does r or spouse hunt
hunt1,does r or spouse or partner hunt,,,does r or spouse or partner hunt
hurtoth,how likely x violent toward other people,,,how likely x violent toward other people
hurtself,how likely x violent toward oneself,,,how likely x violent toward oneself
id,respondent id number,,,respondent id number
if16who,who you would have voted for,,,who you would have voted for
if20who,who you would have voted for in 2020,,,who you would have voted for in 2020
ifwrong,agree people should support their country,,,agree people should support their country
imbalnce,how likely x s situation caused by imbalance in brain,,,how likely x s situation caused by imbalance in brain
immameco,immigrants good for america,,,immigrants good for america
immassim,what statement about immigrants matches view,,,what statement about immigrants matches view
immcrime,immigrants increase crime rates,,,immigrants increase crime rates
immcrime1,immigrants increase crime rates,,,immigrants increase crime rates
immfate,fate of illegal immigrants,,,fate of illegal immigrants
immideas1,immigrants bring new ideas and cultures,,,immigrants bring new ideas and cultures
immjobs,immigrants take jobs away,,,immigrants take jobs away
immjobs1,immigrants take jobs away,,,immigrants take jobs away
immwlfare,people born in america should be given preference over immigrants when it comes,,,people born in america should be given preference over immigrants when it comes
imports,america should limit the import,,,america should limit the import
imprvdis,situation will improve with strict discipline,,,situation will improve with strict discipline
imprveat,situation will improve with some changes in diet,,,situation will improve with some changes in diet
imprvmed,situation will improve with medical treatment,,,situation will improve with medical treatment
imprvown,how likely x s situation will improve on its own,,,how likely x s situation will improve on its own
imprvown1,how likely child x situation will improve on its own,,,how likely child x situation will improve on its own
imprvtrt,how likely x s situation will improve with treatment,,,how likely x s situation will improve with treatment
incgap1,government's responsibility to reduce economic inequality,,,government's responsibility to reduce economic inequality
incom16,r's family income when 16 yrs old,,,r's family income when 16 yrs old
income,total family income,,,total family income
income16,total family income,,,total family income
indus10,r's industry code (naics 2007),,,r's industry code (naics 2007)
infodeal,"would r provide info for discounts, free products",,,"would r provide info for discounts, free products"
infoprofit,would r provide info companies could profit from,,,would r provide info companies could profit from
intaccprxy,how often r asked someone to use the internet on their behalf,,,how often r asked someone to use the internet on their behalf
intapps,r's skill at learning new software,,,r's skill at learning new software
intbhlf,frequency r was asked to use internet for someone else,,,frequency r was asked to use internet for someone else
intcnfrm,how often r tries to confirm information with other sources,,,how often r tries to confirm information with other sources
intcomm,how often r uses internet for communication,,,how often r uses internet for communication
intfncl,how often r uses internet for financial transactions,,,how often r uses internet for financial transactions
intgame,how often r uses internet for video games,,,how often r uses internet for video games
inthome,frequency r has home internet access,,,frequency r has home internet access
inthrss,has r or someone they know been harassed online,,,has r or someone they know been harassed online
intlincs,large intl company damage to local business,,,large intl company damage to local business
intliteracy,r's knowledge of online information discretion,,,r's knowledge of online information discretion
intlnly,r would feel lonely without internet?,,,r would feel lonely without internet?
intmeet,r more comfortable meeting people online?,,,r more comfortable meeting people online?
